slug,current_source,confidence,suggested_source,rationale
radha-krishna-ashtakam,Vaishnava Devotional Literature,medium,Vaishnava Devotional Literature,
radha-mangalashtakam,Brahmavaivarta Purana,medium,Brahmavaivarta Purana,
radha-sahasranama,Narada Pancharatra,medium,Narada Pancharatra,
radha-stotram,Narada Pancharatra,medium,Narada Pancharatra,
radha-stuti,Gaudiya Vaishnava Tradition,medium,Gaudiya Vaishnava Tradition,
raghunatha-ashtakam,Traditional Sanskrit Stotra,medium,Traditional Sanskrit Stotra,
raghuveera-gadyam,Composed by Vedanta Deshika (13th-14th Century),medium,Composed by Vedanta Deshika (13th-14th Century),
rahu-dosh-nivaran-stotram,Graha Shanti Vidhi,medium,Graha Shanti Vidhi,
rahu-kavacham,Brahmanda Purana,medium,Brahmanda Purana,
rahu-ketu-stotram,Skanda Purana (Graha Khanda),high,Skanda Purana (Graha Khanda),OK
rahu-sahasranama,Skanda Purana,high,Skanda Purana,OK
rahu-stotra,Skanda Purana,high,Skanda Purana,OK
rahu-stotram,Purana Tradition,medium,Purana Tradition,
raksha-bandhan-stotram,Traditional Festival Literature,medium,Traditional Festival Literature,
ram-aarti,Tulsidas - Ramcharitmanas,high,Tulsidas - Ramcharitmanas,OK for Ramayana-based stotras
ram-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
ram-navami-vrat-katha,Valmiki Ramayana,high,Valmiki Ramayana,OK for Ramayana stotras
ram-satsal,Tulsidas - Ram Satsai,medium,Tulsidas - Ram Satsai,
ram-stuti,Tulsidas - Ramcharitmanas,high,Tulsidas - Ramcharitmanas,OK for Ramayana-based stotras
rama-ashtakam,Traditional Sanskrit,medium,Traditional Sanskrit,
rama-ashtottara-shatanamavali,Valmiki Ramayana / Padma Purana,high,Valmiki Ramayana / Padma Purana,OK
rama-dwadash-nama,Valmiki Ramayana tradition,high,Valmiki Ramayana tradition,OK for Ramayana stotras
rama-gayatri,Vedic Gayatri Tradition,medium,Vedic Gayatri Tradition,
rama-hridayam,Ananda Ramayana / Padma Purana,high,Ananda Ramayana / Padma Purana,OK
rama-kavacham,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
rama-mangalashtakam,Valmiki Ramayana tradition,high,Valmiki Ramayana tradition,OK for Ramayana stotras
rama-panchakam,Traditional Sanskrit Stotra,medium,Traditional Sanskrit Stotra,
rama-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
rama-sahasranama,Padma Purana,high,Padma Purana,OK
rama-stotram,Traditional Rama Literature,medium,Traditional Rama Literature,
ramayana-chopai,Ramcharitmanas by Goswami Tulsidas,medium,Ramcharitmanas by Goswami Tulsidas,
rameshwaram-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
ramraksha-stotra,Budhakaushika Rishi - Traditional Sanskrit,medium,Budhakaushika Rishi - Traditional Sanskrit,
ranganatha-ashtakam,Adi Shankaracharya / Traditional Vaishnavite Literature,high,Adi Shankaracharya / Traditional Vaishnavite Literature,OK for Shankara compositions
ratha-saptami-stotram,Skanda Purana,high,Skanda Purana,OK
ratri-suktam,"Rigveda (Mandala 10, Sukta 127)",high,"Rigveda (Mandala 10, Sukta 127)",OK Vedic
ravivar-vrat-katha,Surya Purana,medium,Surya Purana,
rin-mukti-stotram,Lakshmi Tantra / Puranic Compilation,medium,Lakshmi Tantra / Puranic Compilation,
rudra-gayatri,Yajur Veda,medium,Yajur Veda,
rudra-suktam,Rigveda (2.33),high,Rigveda (2.33),OK Vedic
rudram-chamakam-excerpt,Krishna Yajurveda,high,Krishna Yajurveda,OK Vedic
rudrashtakam,Composed by Goswami Tulsidas,medium,Composed by Goswami Tulsidas,
rukmini-mangalashtakam,Traditional Sanskrit Stotra,medium,Traditional Sanskrit Stotra,
sadhana-panchakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
sai-aarti,Shri Sai Satcharitra Tradition,medium,Shri Sai Satcharitra Tradition,
sai-ashtakam,Sai Bhakti Literature,medium,Sai Bhakti Literature,
sai-baba-aarti-dhup,Shirdi Sai Baba Sansthan Tradition,medium,Shirdi Sai Baba Sansthan Tradition,
sai-baba-aarti-shej,Shirdi Sai Baba Sansthan Tradition,medium,Shirdi Sai Baba Sansthan Tradition,
sai-chalisa,Traditional Sai Bhakti Literature,medium,Traditional Sai Bhakti Literature,
sai-kavacham,Sai Devotional Tradition,medium,Sai Devotional Tradition,
sai-mangalashtakam,Sai Devotional Tradition,medium,Sai Devotional Tradition,
sai-sahasranama,Sai Devotional Tradition,medium,Sai Devotional Tradition,
sai-stotram,Sai Devotional Tradition,medium,Sai Devotional Tradition,
sandhya-vandana,"Rigveda, Yajurveda, Dharma Sutras",high,"Rigveda, Yajurveda, Dharma Sutras",OK Vedic
sankat-mochan-hanuman-ashtak,Tulsidas - Traditional,medium,Tulsidas - Traditional,
sankat-nashan-ganesh-stotra,Narada Purana,medium,Narada Purana,
santan-gopala-mantra,Santan Gopala Upanishad / Puranic Tradition,medium,Santan Gopala Upanishad / Puranic Tradition,
santan-gopala-stotram,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
santan-lakshmi-stotram,Ashta Lakshmi Traditional Literature,medium,Ashta Lakshmi Traditional Literature,
santan-prapti-stotram,Santana Gopala Upasana - Traditional,medium,Santana Gopala Upasana - Traditional,
santoshi-mata-aarti,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
santoshi-mata-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
santoshi-mata-vrat-katha,Santoshi Mata Vrat Katha - Traditional,medium,Santoshi Mata Vrat Katha - Traditional,
saptashloki-gita,Bhagavad Gita (Mahabharata),high,Bhagavad Gita (Mahabharata),OK
saraswati-aarti,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
saraswati-ashtakam,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
saraswati-ashtottara-shatanamavali,Saraswati Stotra / Brahmanda Purana,medium,Saraswati Stotra / Brahmanda Purana,
saraswati-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
saraswati-dwadash-nama,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
saraswati-gayatri,Saraswati Rahasya Upanishad,medium,Saraswati Rahasya Upanishad,
saraswati-hridayam,Saraswati Rahasya,medium,Saraswati Rahasya,
saraswati-kavacham,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
saraswati-mangalashtakam,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
saraswati-panchakam,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
saraswati-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
saraswati-rahasya-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
saraswati-sahasranama,Skanda Purana,high,Skanda Purana,OK
saraswati-stotram,Traditional Sanskrit Stotra,medium,Traditional Sanskrit Stotra,
saraswati-stuti,Puranic Compilation,medium,Puranic Compilation,
saraswati-suktam,"Rigveda (Mandala 1, 6, 7)",high,"Rigveda (Mandala 1, 6, 7)",OK Vedic
saraswati-vandana,Traditional Sanskrit Hymns,medium,Traditional Sanskrit Hymns,
sarpa-dosha-nivaran-stotram,Naga Purana,medium,Naga Purana,
sarva-devata-stotram,Vedic Tradition,medium,Vedic Tradition,
sarva-karya-siddhi-stotram,Niti Shastra,medium,Niti Shastra,
sarva-mangala-stotram,Durga Saptashati / Markandeya Purana,medium,Durga Saptashati / Markandeya Purana,
satyanarayan-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
satyanarayan-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
satyanarayan-katha,Skanda Purana - Reva Khanda,high,Skanda Purana - Reva Khanda,OK
satyanarayan-stotram,Skanda Purana - Reva Khanda,high,Skanda Purana - Reva Khanda,OK
saubhagya-lakshmi-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
savitri-gayatri-extended,Vedas,medium,Vedas,
shailputri-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
shakambhari-stotram,Devi Bhagavata Purana,high,Devi Bhagavata Purana,OK for Devi stotras
shakti-panchakam,Markandeya Purana (Durga Saptashati),medium,Markandeya Purana (Durga Saptashati),
shani-aarti,Traditional Hindu Aarti,medium,Traditional Hindu Aarti,
shani-ashtottara-shatanamavali,Skanda Purana,high,Skanda Purana,OK
shani-chalisa,Traditional Hindu Prayer,medium,Traditional Hindu Prayer,
shani-dashrath-stotram,Skanda Purana (Shani Mahatmya),high,Skanda Purana (Shani Mahatmya),OK
shani-gayatri,Navagraha Stotra Tradition,medium,Navagraha Stotra Tradition,
shani-hridayam,Skanda Purana,high,Skanda Purana,OK
shani-kavacham,Brahma Vaivarta Purana,medium,Brahma Vaivarta Purana,
shani-mahatmya,Skanda Purana / Shani Mahatmya,high,Skanda Purana / Shani Mahatmya,OK
shani-mangalashtakam,Skanda Purana,high,Skanda Purana,OK
shani-pancharatnam,Skanda Purana,high,Skanda Purana,OK
shani-sahasranama,Skanda Purana,high,Skanda Purana,OK
shani-stotra,Skanda Purana - Dasharathakritam,high,Skanda Purana - Dasharathakritam,OK
shani-stotram-dasharatha,Brahma Vaivarta Purana - Dasharathakritam,medium,Brahma Vaivarta Purana - Dasharathakritam,
shani-vajrapanjara-kavach,Shani Mahatmya (Skanda Purana),high,Shani Mahatmya (Skanda Purana),OK
shanivar-vrat-katha,Shani Mahatmya,medium,Shani Mahatmya,
shankaracharya-ashtakam,Advaita Tradition,medium,Advaita Tradition,
shanmukha-gayatri,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
shanmukha-stotram,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
shanti-path,Yajurveda (36.17) and Upanishads,high,Yajurveda (36.17) and Upanishads,OK Vedic
sharabha-stotram,Shiva Purana / Sharabha Upanishad,high,Shiva Purana / Sharabha Upanishad,OK for Shiva stotras from Shiva Purana
sharad-purnima-vrat-katha,Bhagavata Purana - Traditional,high,Bhagavata Purana - Traditional,OK for Vaishnava stotras from SB
sharanagati-gadyam,Ramanujacharya - Sharanagati Gadyam,medium,Ramanujacharya - Sharanagati Gadyam,
sharanu-ghosha,Ayyappa Bhakti Tradition (Sabarimala),medium,Ayyappa Bhakti Tradition (Sabarimala),
shatpadi-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
shatru-nashak-stotram,Hanuman Tantra / Puranic Compilation,medium,Hanuman Tantra / Puranic Compilation,
shayan-prarthana,Various Scriptures,medium,Various Scriptures,
sheetala-mata-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
shiv-aarti,Traditional Hindu Aarti (attributed to Shivanand Swami),medium,Traditional Hindu Aarti (attributed to Shivanand Swami),
shiv-aparadh-kshamapana-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
shiv-bhujanga-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
shiv-chalisa,Traditional Hindi Devotional Composition,medium,Traditional Hindi Devotional Composition,
shiv-dashakam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiv-kavach,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
shiv-mahimna-stotram,Composed by Pushpadanta (from Shiva Purana tradition),high,Composed by Pushpadanta (from Shiva Purana tradition),OK for Shiva stotras from Shiva Purana
shiv-manasa-puja,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
shiv-panchakam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiv-panchakshar-dhun,Traditional Devotional Dhun,medium,Traditional Devotional Dhun,
shiv-panchakshara-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
shiv-sahasranama-stotram,"Mahabharata, Anushasan Parva",high,"Mahabharata, Anushasan Parva",OK
shiv-sankalpa-suktam,"Shukla Yajurveda, Vajasaneyi Samhita 34.1-6",high,"Shukla Yajurveda, Vajasaneyi Samhita 34.1-6",OK Vedic
shiv-shadakshara-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiv-stuti,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
shiv-tandav-stotram,Composed by Ravana,medium,Composed by Ravana,
shiva-aparadha-stotram,Shiva Aparadha Bhanjana Stotram (Adi Shankaracharya),high,Shiva Aparadha Bhanjana Stotram (Adi Shankaracharya),OK for Shankara compositions
shiva-ashtakam-prabhu,Traditional Shaivite Literature,medium,Traditional Shaivite Literature,
shiva-ashtamurti-stotram,Shaiva Agama Texts,medium,Shaiva Agama Texts,
shiva-ashtottara-shatanamavali,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiva-ashtottara-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiva-dhyanam,Shiva Purana / Yajurveda,high,Shiva Purana / Yajurveda,OK for Shiva stotras from Shiva Purana
shiva-dwadash-nama,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiva-gayatri,Yajur Veda / Shvetashvatara Upanishad,medium,Yajur Veda / Shvetashvatara Upanishad,
shiva-hridayam,Vamadeva Rishi / Atharvana Upanishad tradition,medium,Vamadeva Rishi / Atharvana Upanishad tradition,
shiva-mangalashtakam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiva-namavali-ashtakam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
shiva-pancharatnam,Purana Tradition,medium,Purana Tradition,
shiva-panchavaktra-stotram,Yajurveda (Taittiriya Aranyaka) and Traditional Shaiva Texts,high,Yajurveda (Taittiriya Aranyaka) and Traditional Shaiva Texts,OK Vedic
shiva-raksha-stotram,Composed by Yajnavalkya Rishi,medium,Composed by Yajnavalkya Rishi,
shiva-stuti-ramayana,Valmiki Ramayana,high,Valmiki Ramayana,OK for Ramayana stotras
shiva-tandava-dhun,Traditional Devotional Composition,medium,Traditional Devotional Composition,
shiva-tatva-stotram,Advaita Vedanta Tradition (Attributed to Adi Shankaracharya),high,Advaita Vedanta Tradition (Attributed to Adi Shankaracharya),OK for Shankara compositions
shivananda-lahari-excerpt,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
shivananda-lahari,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
shivashtakam,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
shodasha-ganapati-stotram,Sritattvanidhi / Mudgala Purana,medium,Sritattvanidhi / Mudgala Purana,
shodashi-stotram,Sri Vidya Tantra / Dakshinamurti Samhita,medium,Sri Vidya Tantra / Dakshinamurti Samhita,
shraddha-mantras,"Grihya Sutras, Garuda Purana, Vayu Purana",medium,"Grihya Sutras, Garuda Purana, Vayu Purana",
shri-hari-stuti,Bhagavad Gita / Vishnu Purana / Vaishnava Tradition,high,Bhagavad Gita / Vishnu Purana / Vaishnava Tradition,OK
shri-krishna-sharanam-mamah,Bhagavad Gita and Vaishnava Tradition,medium,Bhagavad Gita and Vaishnava Tradition,
shri-suktam,Rigveda - Khilani (Appendix to Rigveda Samhita),high,Rigveda - Khilani (Appendix to Rigveda Samhita),OK Vedic
shrinathji-aarti,Nathdwara Pushti Marg Tradition (Vallabhacharya Sampradaya),medium,Nathdwara Pushti Marg Tradition (Vallabhacharya Sampradaya),
shrinathji-chalisa,Nathdwara / Pushti Marga Tradition,medium,Nathdwara / Pushti Marga Tradition,
shrinathji-stotram,Pushti Marg / Vallabha Sampradaya,medium,Pushti Marg / Vallabha Sampradaya,
shruti-gita,Shrimad Bhagavata Purana 10.87,high,Shrimad Bhagavata Purana 10.87,OK for Vaishnava stotras from SB
shuka-stuti,Shrimad Bhagavata Purana,high,Shrimad Bhagavata Purana,OK for Vaishnava stotras from SB
shukra-kavacham,Graha Stotra Sangraha,medium,Graha Stotra Sangraha,
shukra-sahasranama,Skanda Purana,high,Skanda Purana,OK
shukra-stotra,Skanda Purana,high,Skanda Purana,OK
shukra-stotram,Purana Tradition,medium,Purana Tradition,
shukravar-vrat-katha,Lakshmi Purana,medium,Lakshmi Purana,
shvetashvatara-upanishad-key-verses,Shvetashvatara Upanishad (Krishna Yajurveda),high,Shvetashvatara Upanishad (Krishna Yajurveda),OK Vedic
shyama-sundara-stotram,Garga Samhita,medium,Garga Samhita,
shyamala-dandakam,Kalidasa (attributed) / Tantra Shastra,medium,Kalidasa (attributed) / Tantra Shastra,
siddha-kunjika-stotram,Rudrayamala (Gauri Tantra),medium,Rudrayamala (Gauri Tantra),
siddhi-vinayak-stotram,Puranic Compilation,medium,Puranic Compilation,
siddhidatri-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
sita-ashtakam,Traditional Rama Literature,medium,Traditional Rama Literature,
sita-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
sita-hridayam,Ananda Ramayana,medium,Ananda Ramayana,
sita-kavacham,Ananda Ramayana,medium,Ananda Ramayana,
sita-mangalashtakam,Ananda Ramayana,medium,Ananda Ramayana,
sita-ram-stuti,Traditional Sanskrit / Valmiki Ramayana / Ramcharitmanas,high,Traditional Sanskrit / Valmiki Ramayana / Ramcharitmanas,OK for Ramayana stotras
sita-sahasranama,Ananda Ramayana,medium,Ananda Ramayana,
sita-stotram,Valmiki Ramayana tradition,high,Valmiki Ramayana tradition,OK for Ramayana stotras
skanda-sashti-kavacham,Traditional Tamil-Sanskrit Hymn,medium,Traditional Tamil-Sanskrit Hymn,
skandamata-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
soma-suktam,Rigveda (Mandala 9),high,Rigveda (Mandala 9),OK Vedic
somnath-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
somvar-vrat-katha,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
soundarya-lahari-excerpt,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
soundarya-lahari,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
sri-rudram-namakam,Krishna Yajurveda - Taittiriya Samhita (4.5),high,Krishna Yajurveda - Taittiriya Samhita (4.5),OK Vedic
sri-stuti,Vedanta Deshika - Sri Stuti,medium,Vedanta Deshika - Sri Stuti,
sri-suktam,Rig Veda Khilani,medium,Rig Veda Khilani,
sri-venkatesha-mangalashasanam,Sri Vaishnava Sampradaya,medium,Sri Vaishnava Sampradaya,
sri-yantra-stotram,Sri Vidya Tantra Tradition,medium,Sri Vidya Tantra Tradition,
subhashita-ratnavali,Various Scriptures and Sanskrit Literature,medium,Various Scriptures and Sanskrit Literature,
subrahmanya-ashtakam,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
subrahmanya-bhujangam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
subrahmanya-gayatri,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
subrahmanya-kavacham,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
sudarshana-ashtakam,Vedanta Desika,medium,Vedanta Desika,
sundarkand-full-path,Tulsidas - Ramcharitmanas (Sundarkand),high,Tulsidas - Ramcharitmanas (Sundarkand),OK for Ramayana-based stotras
sundarkand-hanuman-stuti,Ramcharitmanas - Sundarkand by Goswami Tulsidas,medium,Ramcharitmanas - Sundarkand by Goswami Tulsidas,
surdas-pad-key-verses,Sur Sagar,medium,Sur Sagar,
surya-ashtakam,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
surya-ashtottara-shatanamavali,Surya Purana / Aditya Hridayam tradition,medium,Surya Purana / Aditya Hridayam tradition,
surya-chalisa,Traditional Hindu Prayer,medium,Traditional Hindu Prayer,
surya-dvadash-nama,Surya Upanishad / Ishavasya Upanishad,medium,Surya Upanishad / Ishavasya Upanishad,
surya-gayatri,Rig Veda,medium,Rig Veda,
surya-hridayam,Valmiki Ramayana (Yuddha Kanda),high,Valmiki Ramayana (Yuddha Kanda),OK for Ramayana stotras
surya-kavacham,Bhavishya Purana,medium,Bhavishya Purana,
surya-mandala-stotram,Upanishadic and Puranic Compilation,medium,Upanishadic and Puranic Compilation,
surya-mangalashtakam,Surya Purana,medium,Surya Purana,
surya-namaskar-mantra,Traditional Vedic Mantras,medium,Traditional Vedic Mantras,
surya-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
surya-sahasranama-dhyanam,Bhavishya Purana / Surya Sahasranama,medium,Bhavishya Purana / Surya Sahasranama,
surya-sahasranama-full,Bhavishyottara Purana,medium,Bhavishyottara Purana,
surya-stotram,Bhavishya Purana,medium,Bhavishya Purana,
suryopasana-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
taittiriya-upanishad-shiksha-valli,Taittiriya Upanishad (Krishna Yajurveda),high,Taittiriya Upanishad (Krishna Yajurveda),OK Vedic
tara-kavacham,Tara Tantra,medium,Tara Tantra,
tara-stotram,Tantrasara,medium,Tantrasara,
tattva-bodha-key-verses,Tattva Bodha — Adi Shankaracharya,high,Tattva Bodha — Adi Shankaracharya,OK for Shankara compositions
thiruchendur-stotram,South Indian Tradition,medium,South Indian Tradition,
thiruppavai,Nalayira Divya Prabandham (Andal),medium,Nalayira Divya Prabandham (Andal),
tirupati-stotram,Venkatachala Mahatmya,medium,Venkatachala Mahatmya,
totakashtakam,Totakacharya (disciple of Adi Shankaracharya),high,Totakacharya (disciple of Adi Shankaracharya),OK for Shankara compositions
trayodash-shiv-naam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
trimbakeshwar-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
tripura-sundari-ashtakam,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
tripura-sundari-kavacham,Rudrayamala Tantra,medium,Rudrayamala Tantra,
tripura-sundari-pancharatnam,Lalita Sahasranama Tradition,medium,Lalita Sahasranama Tradition,
tripura-sundari-sahasranama,Brahmanda Purana,medium,Brahmanda Purana,
tripura-sundari-stotram,Brahmanda Purana,medium,Brahmanda Purana,
tripurantaka-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
tukaram-abhanga-key-verses,Sant Tukaram - Tukaram Gatha,medium,Sant Tukaram - Tukaram Gatha,
tulsi-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
tulsi-stotram,Padma Purana,high,Padma Purana,OK
tulsi-vivah-katha,Padma Purana,high,Padma Purana,OK
tulsi-vivah-stotram,Padma Purana,high,Padma Purana,OK
uddhava-gita-key-verses,Shrimad Bhagavata Purana (Skandha 11),high,Shrimad Bhagavata Purana (Skandha 11),OK for Vaishnava stotras from SB
ugra-narasimha-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
uma-maheshwara-stotram,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
uma-stuti,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
ushas-suktam,Rigveda (Mandala 1),high,Rigveda (Mandala 1),OK Vedic
vaibhava-lakshmi-vrat-katha,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
vaidyanath-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
vairagya-sandipani,Tulsidas - Vairagya Sandipani,medium,Tulsidas - Vairagya Sandipani,
vairagya-shatakam,Vairagya Shatakam by Bhartrihari (5th Century),medium,Vairagya Shatakam by Bhartrihari (5th Century),
vaishno-devi-aarti,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
vaishno-devi-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
vakratunda-mahakaya,Various Puranic Sources / Traditional Compilation,medium,Various Puranic Sources / Traditional Compilation,
vallabhacharya-ashtakam,Pushti Marga / Vallabha Sampradaya,medium,Pushti Marga / Vallabha Sampradaya,
vamana-stotram,Vamana Purana,medium,Vamana Purana,
varaha-stotram,"Shrimad Bhagavata Purana, Canto 3",high,"Shrimad Bhagavata Purana, Canto 3",OK for Vaishnava stotras from SB
varalakshmi-stotram,Skanda Purana (Varalakshmi Vrat Katha),high,Skanda Purana (Varalakshmi Vrat Katha),OK
varuna-suktam,"Rigveda (Mandala 1, Sukta 24-25)",high,"Rigveda (Mandala 1, Sukta 24-25)",OK Vedic
vashikaran-nivaran-stotram,Tantra Shastra,medium,Tantra Shastra,
vastu-dosh-nivaran-mantra,Rigveda - Vastu Suktam and Traditional,high,Rigveda - Vastu Suktam and Traditional,OK Vedic
vastu-purusha-gayatri,Rigveda / Traditional,high,Rigveda / Traditional,OK Vedic
vastu-purusha-stotram,"Matsya Purana, Vastu Shastra",medium,"Matsya Purana, Vastu Shastra",
vastu-shanti-stotram,"Rigveda (7.54.1-3), Yajurveda",high,"Rigveda (7.54.1-3), Yajurveda",OK Vedic
vasudeva-ashtakam,Traditional Vaishnavite Stotra,medium,Traditional Vaishnavite Stotra,
vasudeva-stotram,Bhagavata Purana and Bhagavad Gita,high,Bhagavata Purana and Bhagavad Gita,OK for Vaishnava stotras from SB
vat-savitri-vrat-katha,Mahabharata - Vana Parva,high,Mahabharata - Vana Parva,OK
vayu-ashtakam,Vayu Purana / Taittiriya Upanishad,medium,Vayu Purana / Taittiriya Upanishad,
vayu-dwadash-nama,Rig Veda,medium,Rig Veda,
vayu-gayatri,Rig Veda,medium,Rig Veda,
vayu-kavacham,Vayu Purana,medium,Vayu Purana,
vayu-stotram,Vayu Purana,medium,Vayu Purana,
vayu-stuti,Vayu Stuti (Shri Madhvacharya),medium,Vayu Stuti (Shri Madhvacharya),
vayu-suktam,Rigveda (Mandala 1) / Taittiriya Upanishad,high,Rigveda (Mandala 1) / Taittiriya Upanishad,OK Vedic
vedasara-shiva-stotram,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
venkatesha-prapatti,Shri Vaishnava Agama Tradition,medium,Shri Vaishnava Agama Tradition,
venkateswara-stotram,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
venkateswara-suprabhatam,Prativadi Bhayankaram Annangaracharya,medium,Prativadi Bhayankaram Annangaracharya,
venugeet,"Srimad Bhagavata Purana - Skanda 10, Chapter 21",high,"Srimad Bhagavata Purana - Skanda 10, Chapter 21",OK for Vaishnava stotras from SB
vidya-prapti-stotram,Saraswati Stotram - Traditional,medium,Saraswati Stotram - Traditional,
vinay-patrika-key-verses,Vinay Patrika - Goswami Tulsidas,medium,Vinay Patrika - Goswami Tulsidas,
vinayaka-chaturthi-vrat-katha,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
vindhyavasini-stotram,Devi Bhagavata Purana,high,Devi Bhagavata Purana,OK for Devi stotras
vindyeshwari-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
virupaksha-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
vishnu-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
vishnu-ashtakam,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
vishnu-ashtottara-shatanamavali,Vishnu Purana,high,Vishnu Purana,OK
vishnu-bhujanga-stotram,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
vishnu-chalisa,Traditional Vishnu Devotional Literature,medium,Traditional Vishnu Devotional Literature,
vishnu-dhyanam,Vishnu Purana / Padma Purana,high,Vishnu Purana / Padma Purana,OK
